policy,PC,qosflow_vs_policy_%
FSF,0.37797380379577655,153.04101838755304
LTL,0.7508687516706762,27.37629049483803
Hybrid,0.5030740443731623,90.11689691817216
QoSFlow,0.9564287623630046,
QoSFlow_lift_over_best_heuristic(%),,27.37629049483803
