nodes,total,in_o1,in_o2,in_o3,exec_o1,exec_o2,exec_o3,out_o1,out_o2,out_o3,critical_path,individuals_stor,individuals_merge_stor,sifting_stor,frequency_stor,mutation_overlap_stor,in_individuals,read_individuals,write_individuals,out_individuals,in_individuals_merge,read_individuals_merge,write_individuals_merge,out_individuals_merge,in_sifting,read_sifting,write_sifting,out_sifting,in_frequency,read_frequency,write_frequency,out_frequency,in_mutation_overlap,read_mutation_overlap,write_mutation_overlap,out_mutation_overlap,lam_read_beegfs,lam_write_beegfs,lam_read_ssd,lam_write_ssd,lam_read_tmpfs,lam_write_tmpfs,lam_in_total,lam_out_total,exec_beegfs_share,exec_local_share,movement_share,region_provisional,region
10,247.51675894288837,0.0,0.0181750333120701,0.1133218168415363,131.5655812855105,8.03985426189517,0.8398983585495854,49.71457799997497,55.92999014817022,1.295360038634333,read_individuals(30)->write_individuals(30)->stage_out_individuals(30)->stage_in_individuals_merge(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(15)->stage_in_mutation_overlap(17)->read_frequency(1)->write_frequency(1)->stage_out_mutation_overlap(17),beegfs,ssd,beegfs,beegfs,ssd,0.0,131.556948,0.008634,49.714578,0.018175,0.05454,0.010549,0.814689,0.0,8.038011,0.001843,55.92999,0.0,0.628339,0.211559,0.0,0.113322,0.092998,0.154651,1.29536,140.22329800000003,0.222036,0.0,0.0,0.0,0.0,0.131497,106.939928,0.5674174734665365,0.0,0.432582526764198,33,0
10,247.51719730124577,0.0,0.0181750333120701,0.1754765717028859,131.5655812855105,8.03985426189517,0.7781819620456173,49.71457799997497,55.92999014817022,1.295360038634333,read_individuals(30)->write_individuals(30)->stage_out_individuals(30)->stage_in_individuals_merge(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(15)->stage_in_frequency(16)->read_frequency(1)->write_frequency(1)->stage_out_frequency(17),beegfs,ssd,beegfs,ssd,beegfs,0.0,131.556948,0.008634,49.714578,0.018175,0.05454,0.010549,0.814689,0.0,8.038011,0.001843,55.92999,0.175477,0.211945,0.566237,1.29536,0.0,0.476881,0.058366,0.0,139.59495900000002,0.010477,0.211945,0.566237,0.0,0.0,0.193652,106.939928,0.5640231770647026,0.0031439512425186955,0.432832874515828,33,0
10,247.51719730124577,0.0,0.0181750333120701,0.1754765717028859,131.5655812855105,8.03985426189517,0.7781819620456173,49.71457799997497,55.92999014817022,1.295360038634333,read_individuals(30)->write_individuals(30)->stage_out_individuals(30)->stage_in_individuals_merge(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(15)->stage_in_frequency(16)->read_frequency(1)->write_frequency(1)->stage_out_frequency(17),beegfs,ssd,beegfs,ssd,ssd,0.0,131.556948,0.008634,49.714578,0.018175,0.05454,0.010549,0.814689,0.0,8.038011,0.001843,55.92999,0.175477,0.211945,0.566237,1.29536,0.113322,0.092998,0.154651,1.29536,139.59495900000002,0.010477,0.211945,0.566237,0.0,0.0,0.193652,106.939928,0.5640231770647026,0.0031439512425186955,0.432832874515828,33,0
10,277.71401862242857,0.0,0.0473995616690666,0.0,131.5655812855105,8.03985426189517,0.8398983585495854,137.1614338845933,0.0598512702109638,0.0,read_individuals(30)->write_individuals(30)->stage_out_individuals(12)->stage_in_individuals_merge(12)->read_sifting(1)->write_sifting(1)->stage_out_individuals_merge(12)->read_frequency(1)->write_frequency(1),beegfs,tmpfs,beegfs,beegfs,beegfs,0.0,131.556948,0.008634,137.161434,0.0474,0.081373,0.001725,0.059851,0.0,8.038011,0.001843,0.0,0.0,0.628339,0.211559,0.0,0.0,0.476881,0.058366,0.0,140.22329800000003,0.222036,0.0,0.0,0.0,0.0,0.0474,137.22128500000002,0.5057192816432672,0.0,0.49428071971629856,34,1
10,291.9873795258305,0.0,0.0,0.4409873844886471,131.5655812855105,8.03985426189517,0.4796170534971776,0.0,150.6653392667665,0.796000273672508,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(6)->stage_in_frequency(5)->read_frequency(1)->write_frequency(1)->stage_out_frequency(7),beegfs,beegfs,beegfs,tmpfs,tmpfs,0.0,131.556948,0.008634,0.0,0.0,0.211195,0.003812,0.0474,0.0,8.038011,0.001843,150.665339,0.440987,0.327892,0.151725,0.796,0.278444,0.134989,0.024676,0.796,139.59495900000002,0.010477,0.0,0.0,0.327892,0.151725,0.440987,151.46133899999998,0.47812147301266983,0.001642594966874482,0.5202359302195851,33,0
10,292.04300930040097,0.0,0.0,0.4409873844886471,131.5655812855105,8.03985426189517,0.5352468280676657,0.0,150.6653392667665,0.796000273672508,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(6)->stage_in_frequency(5)->read_mutation_overlap(1)->write_mutation_overlap(1)->stage_out_frequency(7),beegfs,beegfs,beegfs,tmpfs,beegfs,0.0,131.556948,0.008634,0.0,0.0,0.211195,0.003812,0.0474,0.0,8.038011,0.001843,150.665339,0.440987,0.327892,0.151725,0.796,0.0,0.476881,0.058366,0.0,140.07184,0.068843,0.0,0.0,0.0,0.0,0.440987,151.46133899999998,0.4798631658251684,0.0,0.5201368331462091,33,0
10,292.1851176063494,0.0,0.0,0.278444159955141,131.5655812855105,8.03985426189517,0.8398983585495854,0.0,150.6653392667665,0.796000273672508,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(6)->stage_in_mutation_overlap(5)->read_frequency(1)->write_frequency(1)->stage_out_mutation_overlap(7),beegfs,beegfs,beegfs,beegfs,tmpfs,0.0,131.556948,0.008634,0.0,0.0,0.211195,0.003812,0.0474,0.0,8.038011,0.001843,150.665339,0.0,0.628339,0.211559,0.0,0.278444,0.134989,0.024676,0.796,140.22329800000003,0.222036,0.0,0.0,0.0,0.0,0.278444,151.46133899999998,0.4806724420140266,0.0,0.5193275559107464,33,0
10,292.4867392907923,0.0,0.0,0.4409873844886471,131.5655812855105,8.03985426189517,0.4796170534971776,0.0,150.6653392667665,1.295360038634333,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(6)->stage_in_frequency(5)->read_frequency(1)->write_frequency(1)->stage_out_mutation_overlap(17),beegfs,beegfs,beegfs,tmpfs,ssd,0.0,131.556948,0.008634,0.0,0.0,0.211195,0.003812,0.0474,0.0,8.038011,0.001843,150.665339,0.440987,0.327892,0.151725,0.796,0.113322,0.092998,0.154651,1.29536,139.59495900000002,0.010477,0.0,0.0,0.327892,0.151725,0.440987,151.96069899999998,0.47730518087250057,0.0016397905804651195,0.5210550275528241,33,0
10,292.62276097480725,0.0,0.0,0.278444159955141,131.5655812855105,8.03985426189517,0.7781819620456173,0.0,150.6653392667665,1.295360038634333,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(6)->stage_in_mutation_overlap(5)->read_frequency(1)->write_frequency(1)->stage_out_frequency(17),beegfs,beegfs,beegfs,ssd,tmpfs,0.0,131.556948,0.008634,0.0,0.0,0.211195,0.003812,0.0474,0.0,8.038011,0.001843,150.665339,0.175477,0.211945,0.566237,1.29536,0.278444,0.134989,0.024676,0.796,139.59495900000002,0.010477,0.211945,0.566237,0.0,0.0,0.278444,151.96069899999998,0.4770833120941627,0.002659335170673867,0.520257352821253,33,0
5,294.9240743932122,0.0,0.0181750333120701,0.1754765717028859,170.95130777733235,15.63347644527368,1.2057103788116597,49.71457799997497,55.92999014817022,1.295360038634333,read_individuals(60)->write_individuals(60)->stage_out_individuals(30)->stage_in_individuals_merge(30)->read_sifting(2)->write_sifting(2)->stage_out_sifting(15)->stage_in_frequency(16)->read_frequency(2)->write_frequency(2)->stage_out_frequency(17),beegfs,ssd,beegfs,ssd,beegfs,0.0,170.93783,0.013478,49.714578,0.018175,0.089313,0.014552,0.814689,0.0,15.630523,0.002954,55.92999,0.175477,0.328613,0.877097,1.29536,0.0,0.731962,0.095951,0.0,186.568353,0.016432000000000002,0.328613,0.877097,0.0,0.0,0.193652,106.939928,0.6326536257980494,0.004088204743816416,0.363258171515568,33,0
