repeat,alpha_idx,ccp_alpha,fold,n_val,n_leaves_val,pairs_val,sep_val,skipped,a_eff,mae_val
0,0,0.0,0,53,38.0,0,0.0,False,0.0,73.8404532718321
0,0,0.0,1,52,37.0,0,0.0,False,0.0,82.72130198806389
0,0,0.0,2,52,37.0,0,0.0,False,0.0,83.46434388013648
0,0,0.0,3,52,34.0,0,0.0,False,0.0,73.20736658477728
0,0,0.0,4,52,38.0,0,0.0,False,0.0,76.98557613562122
0,0,0.0,CV-agg,261,36.8,0,0.0,False,,78.02770356327295
0,1,0.012357215867424554,0,53,36.0,0,0.0,False,0.012357215867424554,74.73418463919131
0,1,0.012357215867424554,1,52,37.0,0,0.0,False,0.012357215867424554,82.72130198806389
0,1,0.012357215867424554,2,52,37.0,0,0.0,False,0.012357215867424554,85.25725413624856
0,1,0.012357215867424554,3,52,32.0,1,1.7469096667077875,False,0.012357215867424554,74.66050519408415
0,1,0.012357215867424554,4,52,37.0,0,0.0,False,0.012357215867424554,76.98557613562122
0,1,0.012357215867424554,CV-agg,261,35.8,1,0.0,False,,78.85591162255199
0,2,0.014536159619181643,0,53,36.0,0,0.0,False,0.014536159619181643,74.73418463919131
0,2,0.014536159619181643,1,52,37.0,0,0.0,False,0.014536159619181643,82.72130198806389
0,2,0.014536159619181643,2,52,37.0,0,0.0,False,0.014536159619181643,85.25725413624856
0,2,0.014536159619181643,3,52,32.0,1,1.7469096667077875,False,0.014536159619181643,74.66050519408415
0,2,0.014536159619181643,4,52,37.0,0,0.0,False,0.014536159619181643,76.98557613562122
0,2,0.014536159619181643,CV-agg,261,35.8,1,0.0,False,,78.85591162255199
0,3,0.01502585927607969,0,53,36.0,0,0.0,False,0.01502585927607969,74.73418463919131
0,3,0.01502585927607969,1,52,37.0,0,0.0,False,0.01502585927607969,82.72130198806389
0,3,0.01502585927607969,2,52,37.0,0,0.0,False,0.01502585927607969,85.25725413624856
0,3,0.01502585927607969,3,52,31.0,1,1.7469096667077875,False,0.01502585927607969,74.70744363138452
0,3,0.01502585927607969,4,52,37.0,0,0.0,False,0.01502585927607969,76.98557613562122
0,3,0.01502585927607969,CV-agg,261,35.6,1,0.0,False,,78.86526334186088
0,4,0.027976620482577652,0,53,36.0,0,0.0,False,0.027976620482577652,74.73418463919131
0,4,0.027976620482577652,1,52,37.0,0,0.0,False,0.027976620482577652,82.7915125452365
0,4,0.027976620482577652,2,52,36.0,0,0.0,False,0.027976620482577652,85.25726256621695
0,4,0.027976620482577652,3,52,31.0,1,1.7469096667077875,False,0.027976620482577652,74.70744363138452
0,4,0.027976620482577652,4,52,37.0,0,0.0,False,0.027976620482577652,76.98557613562122
0,4,0.027976620482577652,CV-agg,261,35.4,1,0.0,False,,78.8792533316361
0,5,0.03986588618843789,0,53,36.0,0,0.0,False,0.03986588618843789,74.73418463919131
0,5,0.03986588618843789,1,52,37.0,0,0.0,False,0.03986588618843789,82.7915125452365
0,5,0.03986588618843789,2,52,36.0,0,0.0,False,0.03986588618843789,85.25726256621695
0,5,0.03986588618843789,3,52,31.0,1,1.7469096667077875,False,0.03986588618843789,74.70744363138452
0,5,0.03986588618843789,4,52,37.0,0,0.0,False,0.03986588618843789,77.05578669279386
0,5,0.03986588618843789,CV-agg,261,35.4,1,0.0,False,,78.89324164187738
0,6,0.040353906311399346,0,53,36.0,0,0.0,False,0.040353906311399346,74.73418463919131
0,6,0.040353906311399346,1,52,37.0,0,0.0,False,0.040353906311399346,82.7915125452365
0,6,0.040353906311399346,2,52,36.0,0,0.0,False,0.040353906311399346,85.25726256621695
0,6,0.040353906311399346,3,52,31.0,1,1.7469096667077875,False,0.040353906311399346,74.70744363138452
0,6,0.040353906311399346,4,52,37.0,0,0.0,False,0.040353906311399346,77.05578669279386
0,6,0.040353906311399346,CV-agg,261,35.4,1,0.0,False,,78.89324164187738
0,7,0.0772471129651584,0,53,36.0,0,0.0,False,0.0772471129651584,74.73418463919131
0,7,0.0772471129651584,1,52,36.0,0,0.0,False,0.0772471129651584,82.73452330850824
0,7,0.0772471129651584,2,52,35.0,0,0.0,False,0.0772471129651584,86.09660081764561
0,7,0.0772471129651584,3,52,31.0,1,1.7469096667077875,False,0.0772471129651584,74.6372330742119
0,7,0.0772471129651584,4,52,37.0,0,0.0,False,0.0772471129651584,77.05578669279386
0,7,0.0772471129651584,CV-agg,261,35.0,1,0.0,False,,79.03512363341547
0,8,0.08082747113266386,0,53,36.0,0,0.0,False,0.08082747113266386,74.73418463919131
0,8,0.08082747113266386,1,52,36.0,0,0.0,False,0.08082747113266386,82.73452330850824
0,8,0.08082747113266386,2,52,35.0,0,0.0,False,0.08082747113266386,86.09660081764561
0,8,0.08082747113266386,3,52,31.0,1,1.7469096667077875,False,0.08082747113266386,74.6372330742119
0,8,0.08082747113266386,4,52,37.0,0,0.0,False,0.08082747113266386,77.05578669279386
0,8,0.08082747113266386,CV-agg,261,35.0,1,0.0,False,,79.03512363341547
0,9,0.11206445848837429,0,53,36.0,0,0.0,False,0.11206445848837429,74.73417636827891
0,9,0.11206445848837429,1,52,36.0,0,0.0,False,0.11206445848837429,82.73452330850824
0,9,0.11206445848837429,2,52,34.0,0,0.0,False,0.11206445848837429,85.71185253743906
0,9,0.11206445848837429,3,52,30.0,1,1.7469096667077875,False,0.11206445848837429,73.22446873086015
