region,size,mean_total,median_total,std_total,cv_total,q25_total,q75_total,min_total,max_total,mean_exec_beegfs_share,cv_exec_beegfs_share,mean_exec_local_share,cv_exec_local_share,mean_movement_share,cv_movement_share,openmm_stor,aggregate_stor,training_stor,inference_stor,nodes
0,27,8.474985750270704,8.474218196180901,0.3654018842417278,0.04311533907063576,8.202067708234306,8.695169399891567,7.923327369942869,9.25120582613626,0.9233075488562329,0.04954224749838319,0.035961724694771664,0.7234942283438391,0.040730644247271595,0.6878797893641284,beegfs,*,beegfs,*,*
1,24,10.050507153751646,9.921451692060739,0.7362045365302373,0.073250486295652,9.744537380917683,10.557480649574584,8.823122030726402,11.470299315988576,0.7739299303838661,0.12202991920714533,0.06794781533476453,0.7383899231682226,0.1581221989095871,0.4835611858426063,"ssd,tmpfs",*,beegfs,*,*
2,30,13.36543216041238,14.774382137595326,4.141606014399224,0.3098744555874831,14.613877953543835,15.442059204245492,4.978731761431526,17.022186353852707,0.058909704037342366,1.1424142410392981,0.2339970558776113,0.574887205577601,0.7070931748344301,0.22405090703434746,*,*,tmpfs,*,*
3,30,18.242245134158807,17.846332923956144,1.1166777272180957,0.06121383190532311,17.312184355653358,19.122763408428845,17.038339623341088,20.5853115693868,0.037938991373102866,0.8952844334808565,0.8713059919069635,0.04518036218637263,0.09075504814955848,0.36614467620135427,*,*,ssd,*,*
