repeat,alpha_idx,ccp_alpha,fold,n_val,n_leaves_val,pairs_val,sep_val,skipped,a_eff,mae_val
0,0,0.0,0,1290,121.0,0,0.0,False,0.0,3.2759702865365736
0,0,0.0,1,1290,121.0,0,0.0,False,0.0,3.977841997828767
0,0,0.0,2,1289,115.0,0,0.0,False,0.0,4.406502738707582
0,0,0.0,3,1289,121.0,0,0.0,False,0.0,4.669728940745958
0,0,0.0,4,1289,121.0,0,0.0,False,0.0,5.718603687514756
0,0,0.0,CV-agg,6447,119.8,0,0.0,False,,4.409486681379467
0,1,0.0004033115652722734,0,1290,119.0,0,0.0,False,0.0004033115652722734,3.275482962790153
0,1,0.0004033115652722734,1,1290,118.0,0,0.0,False,0.0004033115652722734,3.9786864644212216
0,1,0.0004033115652722734,2,1289,112.0,0,0.0,False,0.0004033115652722734,4.405733009238968
0,1,0.0004033115652722734,3,1289,117.0,0,0.0,False,0.0004033115652722734,4.669521237836122
0,1,0.0004033115652722734,4,1289,119.0,0,0.0,False,0.0004033115652722734,5.71864111333199
0,1,0.0004033115652722734,CV-agg,6447,117.0,0,0.0,False,,4.409370200196588
0,2,0.0015999079659145404,0,1290,117.0,0,0.0,False,0.0015999079659145404,3.273525068486404
0,2,0.0015999079659145404,1,1290,117.0,0,0.0,False,0.0015999079659145404,3.978396042358936
0,2,0.0015999079659145404,2,1289,111.0,0,0.0,False,0.0015999079659145404,4.401538355804544
0,2,0.0015999079659145404,3,1289,115.0,0,0.0,False,0.0015999079659145404,4.67964492454021
0,2,0.0015999079659145404,4,1289,117.0,0,0.0,False,0.0015999079659145404,5.719758525933906
0,2,0.0015999079659145404,CV-agg,6447,115.4,0,0.0,False,,4.410329179662429
0,3,0.0018893087348517482,0,1290,117.0,0,0.0,False,0.0018893087348517482,3.273525068486404
0,3,0.0018893087348517482,1,1290,116.0,0,0.0,False,0.0018893087348517482,3.979702240902363
0,3,0.0018893087348517482,2,1289,111.0,0,0.0,False,0.0018893087348517482,4.401538355804544
0,3,0.0018893087348517482,3,1289,113.0,0,0.0,False,0.0018893087348517482,4.686147344729468
0,3,0.0018893087348517482,4,1289,115.0,0,0.0,False,0.0018893087348517482,5.72319221463482
0,3,0.0018893087348517482,CV-agg,6447,114.4,0,0.0,False,,4.412577146232997
0,4,0.0018957476794129978,0,1290,117.0,0,0.0,False,0.0018957476794129978,3.273525068486404
0,4,0.0018957476794129978,1,1290,116.0,0,0.0,False,0.0018957476794129978,3.979702240902363
0,4,0.0018957476794129978,2,1289,111.0,0,0.0,False,0.0018957476794129978,4.401538355804544
0,4,0.0018957476794129978,3,1289,112.0,0,0.0,False,0.0018957476794129978,4.6861340804901195
0,4,0.0018957476794129978,4,1289,115.0,0,0.0,False,0.0018957476794129978,5.72319221463482
0,4,0.0018957476794129978,CV-agg,6447,114.2,0,0.0,False,,4.412574494208099
0,5,0.0020108313375099968,0,1290,115.0,0,0.0,False,0.0020108313375099968,3.2790331618854958
0,5,0.0020108313375099968,1,1290,116.0,0,0.0,False,0.0020108313375099968,3.979702240902363
0,5,0.0020108313375099968,2,1289,111.0,0,0.0,False,0.0020108313375099968,4.401538355804544
0,5,0.0020108313375099968,3,1289,112.0,0,0.0,False,0.0020108313375099968,4.6861340804901195
0,5,0.0020108313375099968,4,1289,115.0,0,0.0,False,0.0020108313375099968,5.72319221463482
0,5,0.0020108313375099968,CV-agg,6447,113.8,0,0.0,False,,4.413676625507126
0,6,0.0023204287430086297,0,1290,115.0,0,0.0,False,0.0023204287430086297,3.2790331618854958
0,6,0.0023204287430086297,1,1290,116.0,0,0.0,False,0.0023204287430086297,3.979702240902363
0,6,0.0023204287430086297,2,1289,108.0,0,0.0,False,0.0023204287430086297,4.406773546214908
0,6,0.0023204287430086297,3,1289,111.0,0,0.0,False,0.0023204287430086297,4.692462153610326
0,6,0.0023204287430086297,4,1289,113.0,0,0.0,False,0.0023204287430086297,5.721806900246216
0,6,0.0023204287430086297,CV-agg,6447,112.6,0,0.0,False,,4.415711583851162
0,7,0.002341999680806176,0,1290,115.0,0,0.0,False,0.002341999680806176,3.2790331618854958
0,7,0.002341999680806176,1,1290,116.0,0,0.0,False,0.002341999680806176,3.979702240902363
0,7,0.002341999680806176,2,1289,108.0,0,0.0,False,0.002341999680806176,4.406773546214908
0,7,0.002341999680806176,3,1289,111.0,0,0.0,False,0.002341999680806176,4.692462153610326
0,7,0.002341999680806176,4,1289,113.0,0,0.0,False,0.002341999680806176,5.721806900246216
0,7,0.002341999680806176,CV-agg,6447,112.6,0,0.0,False,,4.415711583851162
0,8,0.002378659067737609,0,1290,114.0,0,0.0,False,0.002378659067737609,3.2781536493947656
0,8,0.002378659067737609,1,1290,116.0,0,0.0,False,0.002378659067737609,3.979702240902363
0,8,0.002378659067737609,2,1289,108.0,0,0.0,False,0.002378659067737609,4.406773546214908
0,8,0.002378659067737609,3,1289,111.0,0,0.0,False,0.002378659067737609,4.692462153610326
0,8,0.002378659067737609,4,1289,113.0,0,0.0,False,0.002378659067737609,5.721806900246216
0,8,0.002378659067737609,CV-agg,6447,112.4,0,0.0,False,,4.4155355994998295
0,9,0.0027947418879898656,0,1290,113.0,0,0.0,False,0.0027947418879898656,3.2906428664996925
